initials,age,binary sex (F/M),time,word,competitiveness
F.B.,24,F,2.94102887500776,hest,3
F.B.,24,F,4.005237542005489,ko,3
F.B.,24,F,1.466212083993014,gris,3
F.B.,24,F,3.4831615420116577,får,3
F.B.,24,F,3.0779089579882566,ged,3
F.B.,24,F,3.271407583990367,flodhest,3
F.B.,24,F,3.411215291998815,delfin,3
F.B.,24,F,1.8710967499937396,hval,3
F.B.,24,F,1.4782944170001429,fugl,3
F.B.,24,F,3.7996928750071675,myre,3
F.B.,24,F,3.416028792009456,fisk,3
F.B.,24,F,3.88306687498698,kat,3
F.B.,24,F,2.1829889999935403,hund,3
F.B.,24,F,5.605103457986843,kamel,3
F.B.,24,F,14.032470874983119,æsel,3
