initials,age,binary sex (F/M),time,word,likert_competitiveness,likert_traits,affectedness
alm,21,Female,3.7163778330141213,love,2,4,2
alm,21,Female,1.3448215840035118,kat,2,4,2
alm,21,Female,1.5375745829951484,hund,2,4,2
alm,21,Female,1.9775509169849101,fisk,2,4,2
alm,21,Female,2.1718245839874726,abe,2,4,2
alm,21,Female,2.861414417013293,slange,2,4,2
alm,21,Female,4.366352041979553,reav,2,4,2
alm,21,Female,4.899691957980394,fugl,2,4,2
alm,21,Female,2.988023957994301,los,2,4,2
alm,21,Female,2.617524749977747,leopard,2,4,2
alm,21,Female,3.1767122079909313,geopard,2,4,2
alm,21,Female,1.4545553339994512,tiger,2,4,2
alm,21,Female,3.2280448339879513,elefant,2,4,2
alm,21,Female,4.149589915992692,zebrar,2,4,2
alm,21,Female,7.404795916983858,fro,2,4,2
alm,21,Female,3.9603362080233637,ko,2,4,2
alm,21,Female,5.871829540992621,for,2,4,2
